Frame #,Timestamp,Object ID,Object class,BBox xmin,BBox ymin,BBox xmax,BBox ymax,vel_x,vel_y,Generation method,GPS lat of bbox bottom center,GPS long of bbox bottom center
0,1756875164.72,0,midsize,2355.16357421875,1047.9454345703125,2671.9482421875,1219.3636474609375,0.0,0.0,Detector,36.002964955357804,-86.6079703185739
0,1756875164.72,1,pickup,459.4758605957031,1046.1011962890625,983.5198974609375,1242.6876220703125,0.0,0.0,Detector,36.00312517676652,-86.60813130673672
1,1756875164.76,0,midsize,2423.593994140625,1050.2056884765625,2760.512451171875,1213.5955810546875,68.4301528930664,2.2602739334106445,Localizer,36.00295800386421,-86.60796307661253
1,1756875164.76,1,pickup,530.8142700195312,1017.1404418945312,1075.5457763671875,1241.8961181640625,71.33820343017578,-28.960689544677734,Localizer,36.003119180421805,-86.60812240616468
2,1756875164.79,0,midsize,2505.67333984375,1050.1109619140625,2858.023193359375,1211.13427734375,76.89356231689453,1.0806450843811035,Localizer,36.00294999361274,-86.6079548796417
2,1756875164.79,1,pickup,636.0994873046875,1016.1207885742188,1173.1024169921875,1235.91064453125,91.21587371826172,-14.868196487426758,Localizer,36.00311038582347,-86.60811298918577
3,1756875164.83,0,midsize,2600.0771484375,1047.18115234375,2957.625244140625,1202.566162109375,86.57169342041016,-0.35502588748931885,Localizer,36.002941651963496,-86.6079454612347
3,1756875164.83,1,pickup,731.0531005859375,1012.6209716796875,1271.2640380859375,1233.79150390625,93.17164611816406,-10.87490463256836,Localizer,36.003101958910186,-86.608104074209
4,1756875164.86,0,midsize,2693.4248046875,1041.297119140625,3052.235595703125,1196.196533203125,88.8371810913086,-1.857223391532898,Localizer,36.002933599138636,-86.6079362519978
4,1756875164.86,1,pickup,820.55908203125,1007.721923828125,1361.8660888671875,1226.975341796875,89.91488647460938,-9.248394966125488,Localizer,36.00309437432717,-86.60809538594657
5,1756875164.89,0,midsize,2787.232666015625,1035.1806640625,3142.8603515625,1190.2431640625,89.54010009765625,-2.775879383087158,Localizer,36.002925687490134,-86.60792719935608
5,1756875164.89,1,pickup,905.71533203125,1001.22509765625,1449.491943359375,1219.5062255859375,86.42295837402344,-8.683269500732422,Localizer,36.00308720585451,-86.60808688382559
6,1756875164.93,0,midsize,2891.57861328125,1026.7410888671875,3239.686767578125,1184.76953125,96.69322967529297,-3.865178108215332,Detector,36.002917070947255,-86.60791726116122
6,1756875164.93,1,pickup,1012.801025390625,1001.590087890625,1540.8946533203125,1210.8499755859375,96.56466674804688,-6.341593265533447,Detector,36.00307862521246,-86.60807754679354
7,1756875164.96,0,midsize,2985.482666015625,1024.179931640625,3330.9482421875,1179.23974609375,93.7015151977539,-3.3122050762176514,Localizer,36.00290896352992,-86.60790841014072
7,1756875164.96,1,pickup,1107.955810546875,996.9990844726562,1632.192626953125,1205.1324462890625,95.21033477783203,-5.877991199493408,Localizer,36.00307066302568,-86.60806862019534
8,1756875164.99,0,midsize,3077.087646484375,1021.3074951171875,3418.728271484375,1172.8433837890625,91.26081848144531,-3.0583765506744385,Localizer,36.00290115012904,-86.60789973145302
8,1756875164.99,1,pickup,1202.3577880859375,991.2556762695312,1724.25537109375,1200.9422607421875,94.65489196777344,-5.755966663360596,Localizer,36.00306267434891,-86.60805970357161
9,1756875165.03,0,midsize,3165.778564453125,1015.900634765625,3509.926513671875,1167.34912109375,90.00364685058594,-3.621605396270752,Localizer,36.00289336027972,-86.60789091080848
9,1756875165.03,1,pickup,1296.4398193359375,987.9699096679688,1816.449951171875,1197.9169921875,94.33980560302734,-5.017024040222168,Localizer,36.00305453329692,-86.6080509980302
10,1756875165.06,0,midsize,3256.233642578125,1009.918701171875,3601.031494140625,1161.3408203125,90.27706146240234,-4.170706748962402,Localizer,36.00288552085571,-86.60788192982969
10,1756875165.06,1,pickup,1387.4371337890625,984.0205078125,1904.751708984375,1193.2117919921875,91.99824523925781,-4.773468017578125,Localizer,36.00304679683468,-86.60804245785857
11,1756875165.09,0,midsize,3349.310791015625,1004.2139892578125,3695.14990234375,1155.71630859375,92.20677947998047,-4.494734287261963,Localizer,36.00287739183126,-86.60787272659252
11,1756875165.09,1,pickup,1477.0426025390625,975.1144409179688,1993.0675048828125,1184.3631591796875,90.6422119140625,-6.142031669616699,Localizer,36.00303948704978,-86.60803342485815
12,1756875165.13,0,midsize,3442.481201171875,995.0942993164062,3782.425048828125,1150.4423828125,91.48609924316406,-5.393956184387207,Detector,36.00286965985477,-86.60786360600724
12,1756875165.13,1,pickup,1567.904296875,970.3417358398438,2077.326904296875,1177.3460693359375,89.93052673339844,-5.7732625007629395,Detector,36.00303204680893,-86.60802485990126
13,1756875165.16,0,midsize,3533.4521484375,990.4977416992188,3866.12890625,1145.7288818359375,89.86500549316406,-4.91140079498291,Localizer,36.00286201186112,-86.60785508049536
13,1756875165.16,1,pickup,1664.5509033203125,964.7579345703125,2174.31787109375,1172.329345703125,95.19556427001953,-5.7449493408203125,Localizer,36.003023709487266,-86.60801552357925
14,1756875165.19,0,midsize,3608.882568359375,988.7280883789062,3903.047607421875,1140.8408203125,73.05374145507812,-3.1880671977996826,Localizer,36.002857109715734,-86.60784954545413
14,1756875165.19,1,pickup,1754.531494140625,957.20556640625,2271.078125,1165.1429443359375,93.47286224365234,-6.503359794616699,Localizer,36.00301583907001,-86.60800623101335
