Frame #,Timestamp,Object ID,Object class,BBox xmin,BBox ymin,BBox xmax,BBox ymax,vel_x,vel_y,Generation method,GPS lat of bbox bottom center,GPS long of bbox bottom center
0,1756875164.72,12261,sedan,2355.16357421875,1047.94543457031,2671.9482421875,1219.36364746094,0,0,Detector,36.0029649553578,-86.6079703185739
0,1756875164.72,16261,pickup,459.475860595703,1046.10119628906,983.519897460937,1242.68762207031,0,0,Detector,36.0031251767665,-86.6081313067367
1,1756875164.76,12261,sedan,2423.59399414062,1050.20568847656,2760.51245117187,1213.59558105469,68.4301528930664,2.26027393341064,Localizer,36.0029580038642,-86.6079630766125
1,1756875164.76,16261,pickup,530.814270019531,1017.14044189453,1075.54577636719,1241.89611816406,71.3382034301758,-28.9606895446777,Localizer,36.0031191804218,-86.6081224061647
2,1756875164.79,12261,sedan,2505.67333984375,1050.11096191406,2858.02319335937,1211.13427734375,76.8935623168945,1.0806450843811,Localizer,36.0029499936127,-86.6079548796417
2,1756875164.79,16261,pickup,636.099487304687,1016.12078857422,1173.10241699219,1235.91064453125,91.2158737182617,-14.8681964874268,Localizer,36.0031103858235,-86.6081129891858
3,1756875164.83,12261,sedan,2600.0771484375,1047.18115234375,2957.62524414063,1202.56616210938,86.5716934204102,-0.355025887489319,Localizer,36.0029416519635,-86.6079454612347
3,1756875164.83,16261,pickup,731.053100585938,1012.62097167969,1271.26403808594,1233.79150390625,93.1716461181641,-10.8749046325684,Localizer,36.0031019589102,-86.608104074209
4,1756875164.86,12261,sedan,2693.4248046875,1041.29711914063,3052.23559570312,1196.19653320313,88.8371810913086,-1.8572233915329,Localizer,36.0029335991386,-86.6079362519978
4,1756875164.86,16261,pickup,820.55908203125,1007.72192382813,1361.86608886719,1226.97534179688,89.9148864746094,-9.24839496612549,Localizer,36.0030943743272,-86.6080953859466
5,1756875164.89,12261,sedan,2787.23266601562,1035.1806640625,3142.8603515625,1190.2431640625,89.5401000976563,-2.77587938308716,Localizer,36.0029256874901,-86.6079271993561
5,1756875164.89,16261,pickup,905.71533203125,1001.22509765625,1449.49194335938,1219.50622558594,86.4229583740234,-8.68326950073242,Localizer,36.0030872058545,-86.6080868838256
6,1756875164.93,12261,sedan,2891.57861328125,1026.74108886719,3239.68676757812,1184.76953125,96.693229675293,-3.86517810821533,Detector,36.0029170709473,-86.6079172611612
