im x,im y,roadway x,roadway y
322.15241537084313,290.43911010908124,720,0
351.8084367600553,330.55298202679296,730,0
449.88857282545894,463.21993570084595,760,0
491.18987587566653,519.0856622204961,770,0
622.1820126372148,696.2706502982146,800,0
678.1489758736122,771.9737112524665,810,0
854.2597898971837,1010.1879526151096,840,0
935.3729289135931,1119.9046953515913,850,0
408.63097269255087,245.6369659544616,720,12
439.1233059522724,282.2729955322729,730,12
544.3169018433322,408.6613456016303,760,12
585.2475328947369,457.8388157894737,770,12
722.4419351989619,622.6756007582088,800,12
778.3727360878818,689.8755246939692,810,12
964.1579992517339,913.0934181368176,840,12
1042.1152858095477,1006.7577970418794,850,12
488.13733632577623,204.44692214447738,720,24
519.2403977383506,237.97295654467675,730,24
631.0839450324343,358.5292762034824,760,24
671.2574519950391,401.8323568404396,770,24
813.8749031577572,555.5599115118591,800,24
869.3473632594838,615.3537556278696,810,24
1063.8538713967562,825.0125990572349,840,24
1138.0866189746716,905.0281838868481,850,24
562.513709448787,165.9145842614718,720,36
593.853200584384,196.716465559223,730,36
711.321584573826,312.1697511351227,760,36
750.228565273589,350.40930633347693,770,36
896.929865257761,494.59403507674995,800,36
951.4059143468186,548.1355808010103,810,36
1152.9898111840757,746.2614289538748,840,36
1222.9752131432579,815.0462740681465,850,36
629.0775632025053,131.42969617219603,720,48
660.6666339734204,159.77256709704992,730,48
783.8277975098551,270.27727254986144,760,48
821.4495272434858,304.032865980986,770,48
972.231167777978,439.3196747161651,800,48
1025.6905562216323,487.28539543547146,810,48
1234.2813813884507,674.4407212975823,840,48
1299.9969997529208,733.4031802619039,850,48
im space-> roadway marking coordinate system Homography Matrix
0.15913832092758087,0.9475855312235626,609.294017821177
0.13112713142112628,-0.09683104383138125,-14.55080541506255
4.6732437138492714e-05,0.000978791320832031,1.0
