im x,im y,roadway x,roadway y
180.74443007043266,196.46011211729194,1000,0
187.60805555555555,212.12708333333333,1010,0
206.1211477151966,254.38522848034006,1040,0
213.3615160349854,270.91215616681455,1050,0
237.36784869976358,325.709219858156,1080,0
247.46000935453696,348.7456735266604,1090,0
277.25339659262454,416.7523183092517,1120,0
289.1616541353383,443.9342105263158,1130,0
326.7802306100325,529.802700305509,1160,0
342.13984119570296,564.8626809901915,1170,0
390.0498908113556,674.2225768520074,1200,0
411.32857738840215,722.793491864831,1210,0
480.5543509272468,880.808844507846,1240,0
511.63406042541664,951.7516596667118,1250,0
242.8901332839689,184.2347278785635,1000,12
249.8663697104677,197.06458797327394,1010,12
273.7872722607134,241.05705243349584,1040,12
282.4038179148311,256.90357317670095,1050,12
311.6315709395207,310.65576264739445,1080,12
322.91718597492303,331.4109167354907,1090,12
358.79166954957446,397.3869784819761,1120,12
372.4970228139426,422.592225864722,1130,12
418.2197802197802,506.6800555766073,1160,12
435.856946519271,539.1162234837168,1170,12
494.8020665159832,647.5210418684749,1200,12
518.433031433138,690.9802876931274,1210,12
599.3736842105263,839.8366606170599,1240,12
634.1379621280432,903.770964833183,1250,12
301.84788394725615,172.63648184644143,1000,24
308.5326190708094,182.8711405473848,1010,24
338.2441749122247,228.3609958506224,1040,24
348.17103073040647,243.55950101122187,1050,24
382.5990319619461,296.2704664942001,1080,24
394.7696428864895,314.90427122877946,1090,24
436.5767560122894,378.91302044708124,1120,24
451.8348992504055,402.27398921635955,1130,24
505.59602091640335,484.58491425102443,1160,24
525.1844149074798,514.5757101902528,1170,24
595.2875681775437,621.9070904645477,1200,24
620.5846796172804,660.6382139750652,1210,24
712.2134619169454,800.9263924424326,1240,24
749.7983183138591,858.4706586604052,1250,24
360.36645294453473,161.12463220763252,1000,36
366.24605056120845,168.90821357390118,1010,36
401.7124566280462,215.8596676338697,1040,36
412.74019797386126,230.45851055602816,1050,36
451.8499414044893,282.2331199855765,1080,36
464.43917302956754,298.89910889861284,1090,36
511.4482218852419,361.13104730225507,1120,36
527.8262721856282,382.8127839524611,1130,36
588.8084095498277,463.5427010333769,1160,36
609.7985579278964,491.33006650332516,1170,36
690.1657349556067,597.7224597171983,1200,36
716.2310027369992,632.2284150286141,1210,36
816.4988636363636,764.9659090909091,1240,36
855.7763586176875,816.962592874739,1250,36
416.5808410133544,150.06606406294668,1000,48
421.40387879101945,155.56357771185014,1010,48
463.60680545946286,203.66835650040883,1040,48
475.872288175186,217.64910094996227,1050,48
520.3508875805749,268.34779305799157,1080,48
533.2795269123365,283.08443300662543,1090,48
586.1796351695726,343.3823366472265,1120,48
603.7206864788869,363.3764095602851,1130,48
672.9345247364226,442.26943052642184,1160,48
695.3551844251695,467.8254987842941,1170,48
787.5397877984085,572.9016227180527,1200,48
814.0876664346841,603.1620792768265,1210,48
923.6305519036939,728.0239476194158,1240,48
964.3500818300954,774.437884616546,1250,48
im space-> roadway marking coordinate system Homography Matrix
0.39731663042705,3.2243921090111085,771.30118808201
0.2659097612861015,-0.1164455336460542,-25.385621926706055
0.00019980971936841107,0.0022365474916494076,1.0
